model,file_path,domain,cer,wer,ref,hyp
deepgram_nova3,/audio_books/book_10_d_86.wav,audio_books,0.025,0.14285714285714285,ঠিক না থাকলে মিস্ত্রি ডেকে মেরামত কারায়,ঠিক না থাকলে মিস্ত্রি ডেকে মেরামত করায়।
deepgram_nova3,/audio_books/book_10_d_1047.wav,audio_books,0.0425531914893617,0.1111111111111111,ফাঁস করে দেবার মতো দালাল রাজাকারদের তো অভাব নেই,ফাঁস করে দেবার মতো দালাল রাজাকার্তের তো অভাব নেই
deepgram_nova3,/audio_books/book_10_d_1049.wav,audio_books,0.0,0.0,কপাল মন্দ বলছি কেন,কপাল মন্দ বলছি কেন?
deepgram_nova3,/audio_books/book_10_d_823.wav,audio_books,0.02564102564102564,0.14285714285714285,নানান রঙের পোশাক পরা নর্তকীর ছাপ দেওয়া,নানান রঙের পোশাক পরা নর্তকীর ছাপ দেয়া
deepgram_nova3,/audio_books/book_10_d_612.wav,audio_books,0.0,0.0,খালেদ মোশাররফ ওখানে,খালেদ মোশাররফ ওখানে
deepgram_nova3,/audio_books/book_10_d_640.wav,audio_books,0.1282051282051282,0.2,না না না এক ক্লাসে হবে কেন ১৮ টা ক্লাসে,না না না এক ক্লাসে হবে কেন আঠারোটা ক্লাসে
deepgram_nova3,/audio_books/book_10_d_503.wav,audio_books,0.0,0.0,কোনো দিক থেকে কোনো খবর পাওয়ার উপায় নেই,কোনো দিক থেকে কোনো খবর পাওয়ার উপায় নেই।
deepgram_nova3,/audio_books/book_10_d_163.wav,audio_books,0.08333333333333333,0.3333333333333333,ডা. শামসুল হক,ডাঃ শামসুল হক.
deepgram_nova3,/audio_books/book_10_d_20.wav,audio_books,0.0,0.0,আকাশবাণী বিবিসি স্বাধীন বাংলা রেডিও অস্ট্রেলিয়া,আকাশবাণী বিবিসি স্বাধীন বাংলা রেডিও অস্ট্রেলিয়া
deepgram_nova3,/audio_books/book_10_d_792.wav,audio_books,0.1875,1.0,বা দিকে ড্রইংরুম,বাঁদিকের ড্রইং রুম
deepgram_nova3,/audio_books/book_10_d_751.wav,audio_books,0.25,0.5,বুক দূর দূর করছে,বুক দুরু দুরু করছে
deepgram_nova3,/audio_books/book_10_d_527.wav,audio_books,0.06896551724137931,0.2,এনেছে গুলি খাওয়া বেয়নেট খোঁচানো হাত উড়ে যাওয়া এসব রোগী,"এনেছে গুলি খাওয়া, বেয়োনেট খোঁচানো, হাত পা উড়ে যাওয়া এসব রোগী।"
deepgram_nova3,/audio_books/book_10_d_155.wav,audio_books,0.05263157894736842,0.6666666666666666,সেক্টর টুতে যুদ্ধরত,সেক্টর টু তে যুদ্ধরত
deepgram_nova3,/audio_books/book_10_d_452.wav,audio_books,0.0,0.0,ছেলের গায়ে জামা উঠে,ছেলের গায়ে জামা উঠে।
